IOC, ThreatActor, Reference, Date
mandatechgroup.com,Unknown,UPCrypter Italia,24-02-2026 
eventul.com/it/i.php,Unknown,UPCrypter Italia,24-02-2026 
xtadts.ddns.net,Unknown,UPCrypter Italia,24-02-2026 
raifdevelopments.com/plz.js,Unknown,UPCrypter Italia,24-02-2026 
refeuficn.github.io,Unknown,GhostPoster C2,17-04-2026
mitarchive.info,Unknown,GhostPoster C2,17-04-2026
www.dealctr.com,Unknown,GhostPoster C2,17-04-2026
www.liveupdt.com,Unknown,GhostPoster C2,17-04-2026
mit.globalconference-hub.com,Unknown,XTI Phishing Campain,06-05-2026
link.storjshare.io/s/jvktcsf5ypoak5aucs6fn6noqgga/crowdstrikesupport/update.zip?download=1,Handala,OSINT Feed,17-03-2026
sjc1.vultrobjects.com/f5update/update.sh,Handala,OSINT Feed,17-03-2026
sjc1.vultrobjects.com/f5update/update.sh,Handala,OSINT Feed,17-03-2026
nppxml.bruderste.in,Unknown,XTI Notepad++ Malicious PlugIn,08-05-2026
ddjidd564.github.io,Unknown, TrapDoor https://thehackernews.com/2026/05/trapdoor-supply-chain-attack-spreads.html, 28-05-2026
