IOC, ThreatActor, Reference, Date
link.storjshare.io/s/jvktcsf5ypoak5aucs6fn6noqgga/crowdstrikesupport/update.zip?download=1,Handala,Osint Feed,17-03-2026
sjc1.vultrobjects.com/f5update/update.sh,Handala,Osint Feed,17-03-2026
sjc1.vultrobjects.com/f5update/update.sh,Handala,Osint Feed,17-03-2026
Lovable,Unknown,TrendMicro: https://www.trendmicro.com/en_us/research/25/i/ai-development-platforms-enable-fake-captcha-pages.html,19-09-2025
Netlify,Unknown,TrendMicro: https://www.trendmicro.com/en_us/research/25/i/ai-development-platforms-enable-fake-captcha-pages.html,19-09-2025
Vercel,Unknown,TrendMicro: https://www.trendmicro.com/en_us/research/25/i/ai-development-platforms-enable-fake-captcha-pages.html,19-09-2025
microsoft-teams.icu/files/MSteamsV7.80.exe,Rhysida,OSINT Feed,09-02-2026
microsoft-teams.icu,Rhysida,OSINT Feed,09-02-2026
teams-app.bet,Rhysida,OSINT Feed,09-02-2026
test.avaideas.com,Rhysida,OSINT Feed,09-02-2026
ransom.win64.rhysida.sm,Rhysida,OSINT Feed,09-02-2026
ransom.ps1.rhysida.sm,Rhysida,OSINT Feed,09-02-2026
polytec.bmgroup.com,Rhysida,OSINT Feed,09-02-2026
holland-s9a.stormix.site,Rhysida,OSINT Feed,09-02-2026
1.avaideas.com,Rhysida,OSINT Feed,09-02-2026
sinbadclub.com,Rhysida,OSINT Feed,09-02-2026
rlbayless.com,Rhysida,OSINT Feed,09-02-2026
koper-it.nl,Rhysida,OSINT Feed,09-02-2026
iris-depannage-informatique.com,Rhysida,OSINT Feed,09-02-2026
ict-college.net,Rhysida,OSINT Feed,09-02-2026
albertanewsprint.com,Rhysida,OSINT Feed,09-02-2026
