IOC, ThreatActor, Reference, Date
92ff08773995ebc8d55ec4b8e1a225d0d1e51efa4ef88b8849d0071230c9645a,Unknown,AXIOS NPM Osint Feed,03-01-2026
617b67a8e1210e4fc87c92d1d1da45a2f311c08d26e89b12307cf583c900d101,Unknown,AXIOS NPM Osint Feed,03-01-2026
fcb81618bb15edfdedfb638b4c08a2af9cac9ecfa551af135a8402bf980375cf,Unknown,AXIOS NPM Osint Feed,03-01-2026
3bbb0f2b0eea2605f13e8541bf58e5fda3be1a42350153da88f9b6272f5a0fbc,Unknown,AXIOS NPM Osint Feed,03-01-2026
292f0dc47472057b493e1858eda6c1843531ad0f9ddcb1f7959b3677d2e0b0f3,Unknown,AXIOS NPM Osint Feed,03-01-2026
89e0070aef9064b5cf70eeac08cbe05466c98e72be277000e4dde2b3a7859406,Unknown,AXIOS NPM Osint Feed,03-01-2026
fbd84c13f92b04ac2fca4748fdfb04468d6fb22f361a0fd1a7551ce9762597ef,Unknown,AXIOS NPM Osint Feed,03-01-2026
6f79c0e0e1aab63c3aba0b781e0e46c95b5798b2d4f7b6ecac474b5c40b840ad,Handala,Osint Feed,17-03-2026
96dec6e07229201a02f538310815c695cf6147c548ff1c6a0def2fe38f3dcbc8,Handala,Osint Feed,17-03-2026
fe07dca68f288a4f6d7cbd34d79bb70bc309635876298d4fde33c25277e30bd2,Handala,Osint Feed,17-03-2026
aae989743dddc84adef90622c657e45e23386488fa79d7fe7cf0863043b8acd4,Handala,Osint Feed,17-03-2026
f58d3a4b2f3f7f10815c24586fae91964eeed830369e7e0701b43895b0cefbd3,Handala,Osint Feed,17-03-2026
336167b8c5cfc5cd330502e7aa515cc133656e12cbedb4b41ebbf847347b2767,Handala,Osint Feed,17-03-2026
64c5fd791ee369082273b685f724d5916bd4cad756750a5fe953c4005bb5428c,Handala,Osint Feed,17-03-2026
ad66251d9e8792cf4963b0c97f7ab44c8b68101e36b79abc501bee1807166e8a,Handala,Osint Feed,17-03-2026
454e6d3782f23455875a5db64e1a8cd8eb743400d8c6dadb1cd8fd2ffc2f9567,Handala,Osint Feed,17-03-2026
e28085e8d64bb737721b1a1d494f177e571c47aab7c9507dba38253f6183af35,Handala,Osint Feed,17-03-2026
ca9bf13897af109cb354f2629c10803966eb757ee4b2e468abc04e7681d0d74a,Handala,Osint Feed,17-03-2026
A8C380B57CB7C381CA6BA845BD7AF7333F52EE4DC4E935E98B48BB81FACAD72B,Handala,Osint Feed,17-03-2026
1B39F9B2B96A6586C4A11AB2FDBFF8FDF16BA5A0AC7603149023D73F33B84498,Handala,Osint Feed,17-03-2026
07384AB4488EA795AFFC923851E00EBC2EAD3F01B57BE6BF8358D7659E9EE407,Handala,Osint Feed,17-03-2026
077AB28D66ABDAFAD9F5411E18D26E87FE43DA1410EE8FE846BD721AB0CB52DE,Handala,Osint Feed,17-03-2026
0E51029BA28243B0A6A071713C17357A8EB024AA4298D1CCC9E2C4AC8916DF4D,Handala,Osint Feed,17-03-2026
19001DD441E50233D7F0ADDB4FCD405A70AC3D5E310FF20B331D6F1A29C634F0,Handala,Osint Feed,17-03-2026
1FA1F7F0089F89E07406412C257AE546BB9728F7055F804E800E6C41A682C882,Handala,Osint Feed,17-03-2026
2AC7DF27BBB911F8AA52EFCF67C5DC0E869FCD31FF79E86B6BD72063992EA8AD,Handala,Osint Feed,17-03-2026
2B7D8A519F44D3105E9FDE2770C75EFB933994C658855DCA7D48C8B4897F81E6,Handala,Osint Feed,17-03-2026
336167B8C5CFC5CD330502E7AA515CC133656E12CBEDB4B41EBBF847347B2767,Handala,Osint Feed,17-03-2026
3555728FB51DD3EAEB34A5C6AAF445E63CC93ECE2BF560CF0C673A0D38C6E5D1,Handala,Osint Feed,17-03-2026
3A052D56706A67F918ED3A9ACEC9A2DA428A20065E261D8E40B73BADB4C9D7F4,Handala,Osint Feed,17-03-2026
4491901EFF338AB52C85A77A3FBD3CE80FDA738046EE3B7DA7BE468DA5B331A3,Handala,Osint Feed,17-03-2026
454E6D3782F23455875A5DB64E1A8CD8EB743400D8C6DADB1CD8FD2FFC2F9567,Handala,Osint Feed,17-03-2026
5404E39F2F175A0FC993513EE52BE3679A64C69C79E32CAA656FBB7645965422,Handala,Osint Feed,17-03-2026
5D741F9AF9DA7CE79132DAA37A200AFED1CB0C28E47DE35D127113D69CBAB13D,Handala,Osint Feed,17-03-2026
5DF724C220AED7B4878A2A557502A5CEFEE736406E25CA48CA11A70608F3A1C0,Handala,Osint Feed,17-03-2026
5EE2120821E570760CFB22B8B1D3329407807C14D31C0667F47F36D5D11B0111,Handala,Osint Feed,17-03-2026
64C5FD791EE369082273B685F724D5916BD4CAD756750A5FE953C4005BB5428C,Handala,Osint Feed,17-03-2026
6CC5B94B93BC91EB34447322CFC9B4B1CFBC1B201788ACF68A0A53CE3CB091AB,Handala,Osint Feed,17-03-2026
6F3428555B02970C6F0E0CD40E5D7296BD5CD6326A8CC197CA1AA9025091318B,Handala,Osint Feed,17-03-2026
6F79C0E0E1AAB63C3ABA0B781E0E46C95B5798B2D4F7B6ECAC474B5C40B840AD,Handala,Osint Feed,17-03-2026
73C677DD3B264E7EB80E26E78AC9DF1DBA30915B5CE3B1BC1C83DB52B9C6B30E,Handala,Osint Feed,17-03-2026
94278FA01900FDBFB58D2E373895C045C69C01915EDC5349CD6F3E5B7130C472,Handala,Osint Feed,17-03-2026
960D4C9E79E751BE6CAD470E4F8E1D3A2B11F76F47597DF8619AE41C96BA5809,Handala,Osint Feed,17-03-2026
96DEC6E07229201A02F538310815C695CF6147C548FF1C6A0DEF2FE38F3DCBC8,Handala,Osint Feed,17-03-2026
9E519211947C63D9BF6F4A51BC161F5B9ACE596C2935A8EEDFCE4057F747B961,Handala,Osint Feed,17-03-2026
9FC0F2A57AAFA9100EEFB7019F15B96919EEA5EE5D607441CEEAAAFD8BCC92A2,Handala,Osint Feed,17-03-2026
AAE017E7A36E016655C91BD01B4F3C46309BBE540733F82CCE29392E72E9BD1F,Handala,Osint Feed,17-03-2026
AAE989743DDDC84ADEF90622C657E45E23386488FA79D7FE7CF0863043B8ACD4,Handala,Osint Feed,17-03-2026
AD66251D9E8792CF4963B0C97F7AB44C8B68101E36B79ABC501BEE1807166E8A,Handala,Osint Feed,17-03-2026
B8703744744555AD841F922995CEF5DBCA11DA22565195D05529F5F9095FBFCA,Handala,Osint Feed,17-03-2026
BD1F0FB085C486E97D82B6E8ACB3977497C59C3AC79F973F96C395E7F0CA97F8,Handala,Osint Feed,17-03-2026
C42CC664D738825C4D144D9F273C99F42065E1CB25FB13CE504BAB2C4D06922D,Handala,Osint Feed,17-03-2026
C44506FE6E1EDE5A104008755ABF5B6ACE51F1A84AD656A2DCCC7F2C39C0ECA2,Handala,Osint Feed,17-03-2026
C99CC10F15F655F36314E54F7013A0BC5DF85F4D6FF7F35B14A446315835D334,Handala,Osint Feed,17-03-2026
CA9BF13897AF109CB354F2629C10803966EB757EE4B2E468ABC04E7681D0D74A,Handala,Osint Feed,17-03-2026
CAFA8038EA7E46860C805DA5C8C1AA38DA070FA7D540F4B41D5E7391AA9A8079,Handala,Osint Feed,17-03-2026
D234BB81737612A4F9D18D47992412E84BBFB7F75DE2C7C83E850C16B88F6FFF,Handala,Osint Feed,17-03-2026
D83CCACBCB556E86C350A9B5C87E068CB40D3E90016963B86E59FB0BB86C8F61,Handala,Osint Feed,17-03-2026
DBDB14E37FC4412711A1E5E37E609E33410DE31DE13911AEE99AB473753BAA4A,Handala,Osint Feed,17-03-2026
E28085E8D64BB737721B1A1D494F177E571C47AAB7C9507DBA38253F6183AF35,Handala,Osint Feed,17-03-2026
FE07DCA68F288A4F6D7CBD34D79BB70BC309635876298D4FDE33C25277E30BD2,Handala,Osint Feed,17-03-2026
FF15558085D30F38BC6FD915AB3386B59EE5BB655CBCCBEB75D021FDD1FDE3AC,Handala,Osint Feed,17-03-2026
e11f69b49b6f2e829454371c31ebf86893f82a042dae3f2faf63dcd84f97a584,Unknown,Eartworm open-source network tunneling for pivoting https://unit42.paloaltonetworks.com/captive-portal-zero-day/,10-05-2026
a132be0544b4a625c21fc5afb238a4f2b4c0636e11c0193f6820cd4676db34f4,Unknown,AGENT TESLA,03-07-2026
48c46247723cf96de85d1b3af02c8a27d0a7de8e20ad867787d6ff0d0888465d,Unknown,AGENT TESLA,07-07-2026
b3d07e47793a40bf3d99133b7a58feffe5bf8d27ea42a8e45eba322bc02cf8fb,Unknown,RemcosRAT,13-07-2026
6897b649f29e54d8910459963bbf94ed5c7a4fe66a56bc5962540b226b8e48c4,TA488,HTML message body containing the exploit and OWAReaper payload - TA488 May Have Exploited Outlook Web Access 0-Day Flaw Before Microsoft’s Emergency Patch,30-07-2026
c867c0c2b850e0ce24fc858802edb0dba854e35212d9d7a55e378b1ef0da6992,Unknown,XTI - RICHIESTA_DI_PREVENTIVO_MAS_MARINE_SRL_281000631.js,04-08-2026
4d99b02c495821e34923228d8e0f76d86ae167466b252f42c5c808fabe05b2de,Unknown,XTI - RICHIESTA_DI_PREVENTIVO_MAS_MARINE_SRL_281000631.js,04-08-2026
